"ENTREZ","symbol_name","ensembl_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"54726","OTUD4","ENSG00000164164",1200.33333333333,2808.5,39.3592102399527,4.162861259214e-07,0.0069022972542379,-4.49176658453792
"139231","FAM199X","ENSG00000123575",603.333333333334,1291.66666666667,35.9151167295055,6.39604990431163e-07,0.0069022972542379,-4.49184453422652
"1974","EIF4A2","ENSG00000156976",2742,5045,27.8786308449706,2.09521630492242e-06,0.0150736845030468,-4.49215083903466
"79699","ZYG11B","ENSG00000162378",440.666666666667,1094,23.9539969603835,4.25890634384683e-06,0.0229799939048116,-4.49242279698074
"51637","RTRAF","ENSG00000087302",785,1150.5,20.057711640596,9.74774546836166e-06,0.0238135556093323,-4.4928631658821
"5700","PSMC1","ENSG00000100764",337.333333333333,691.333333333333,19.9706821570281,9.94714990782652e-06,0.0238135556093323,-4.49287598982667
"9804","TOMM20","ENSG00000173726",968,1445,19.8047832923585,1.03411201261596e-05,0.0238135556093323,-4.49290089768953
"26953","RANBP6","ENSG00000137040",536.333333333333,909.166666666667,19.5441542735464,1.09989317419932e-05,0.0238135556093323,-4.49294129545367
"26286","ARFGAP3","ENSG00000242247",351.666666666667,767.166666666667,19.3304742207502,1.15763348903575e-05,0.0238135556093323,-4.49297562165191
"200558","APLF","ENSG00000169621",356.666666666667,419.333333333333,19.0968268896021,1.22502493622796e-05,0.0238135556093323,-4.49301445918581
"91746","YTHDC1","ENSG00000083896",1642,3972,18.5152761509316,1.41452257483024e-05,0.0238135556093323,-4.49311747275224
"6049","RNF6","ENSG00000127870",736.666666666667,1227,18.0898556097386,1.57590858409948e-05,0.0238135556093323,-4.49319908314868
"57515","SERINC1","ENSG00000111897",1679.66666666667,3323.16666666667,17.973094701707,1.6240426769614e-05,0.0238135556093323,-4.49322248178885
"51193","ZNF639","ENSG00000121864",357.666666666667,717.166666666667,17.7986107360015,1.69933363582265e-05,0.0238135556093323,-4.49325829288114
"63939","FAM217B","ENSG00000196227",400.666666666667,782.333333333333,17.5266774441347,1.82528245497395e-05,0.0238135556093323,-4.49331620753565
"56947","MFF","ENSG00000168958",574.666666666667,899,17.2679140580059,1.95576496164002e-05,0.0238135556093323,-4.49337382342203
"5885","RAD21","ENSG00000164754",1854.66666666667,3351,16.6852667195572,2.29334573428838e-05,0.0238135556093323,-4.49351328517484
"116151","FAM210B","ENSG00000124098",363,427.833333333333,16.3171144622463,2.54322745670796e-05,0.0238135556093323,-4.49360902853533
"10447","FAM3C","ENSG00000196937",383,585.166666666667,16.2118304049227,2.62066284863343e-05,0.0238135556093323,-4.49363758693663
"57494","RIMKLB","ENSG00000166532",243.666666666667,588.5,16.1923559205758,2.63529698477468e-05,0.0238135556093323,-4.49364292908376
"30836","DNTTIP2","ENSG00000067334",800.666666666667,1121,16.1755550196684,2.64800152532834e-05,0.0238135556093323,-4.49364755296507
"7257","TSNAX","ENSG00000116918",233.333333333333,541,16.1230104180497,2.68821570757091e-05,0.0238135556093323,-4.49366210524888
"105371224","LOC105371224",NA,-2137.33333333333,2453.33333333333,-16.0948089984842,2.71010375725973e-05,0.0238135556093323,-4.49366997307617
"85460","ZNF518B","ENSG00000178163",942.666666666667,1436.66666666667,16.0027230354785,2.7830913388677e-05,0.0238135556093323,-4.49369594704079
"105374407",NA,NA,-304.666666666667,418.666666666667,-15.947426667415,2.82806232454475e-05,0.0238135556093323,-4.49371175537583
"94101","ORMDL1","ENSG00000128699",652,1535.33333333333,15.8983603281908,2.86870428505138e-05,0.0238135556093323,-4.49372591755021
