"ENTREZ","symbol_name","ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2354","FOSB","ENSG00000125740",1025.42109445042,-2.79602082603144,0.300946229488264,-9.29076543270158,1.53182704509884e-20,3.5519102955187e-17
"3123","HLA-DRB1","ENSG00000196126",3018.61729376638,1.81139019133073,0.207294238504566,8.7382563278083,2.36735874552067e-18,3.49073871326603e-15
"64754","SMYD3","ENSG00000185420",491.499197337351,-2.01980853816048,0.255092602988024,-7.91794240405828,2.41473166048788e-15,1.48775067219316e-12
"3007","H1-3","ENSG00000124575",1833.89769744518,1.1810233444559,0.155854016776026,7.57775364977038,3.51589180222483e-14,1.65150875482614e-11
"134187","POU5F2","ENSG00000248483",546.198598492984,-2.57248762558476,0.345788833268073,-7.43947570912573,1.01085685525806e-13,3.96329404123361e-11
"7292","TNFSF4","ENSG00000117586",1523.57436294746,-1.44991357315759,0.204131172232634,-7.10285233411204,1.22207962819518e-12,3.87543016211779e-10
"3148","HMGB2","ENSG00000164104",1232.23414519309,1.10344880563189,0.156228389221558,7.06304923919439,1.62887969770166e-12,4.94720588749841e-10
"3006","H1-2","ENSG00000187837",1436.99653754366,1.30401226217855,0.213366890933549,6.11159611724702,9.86395636541459e-10,1.50855570967234e-07
"5046","PCSK6","ENSG00000140479",260.015870598648,2.07656200031984,0.343638351530244,6.04287033467823,1.5139632427559e-09,2.25152437012333e-07
"306","ANXA3","ENSG00000138772",61.6866636643287,2.95324426326007,0.497850736814298,5.93198733049511,2.99289724124841e-09,3.91144461274429e-07
"8031","NCOA4","ENSG00000266412",8735.54830803529,1.07654265518997,0.184138416307602,5.84637728930834,5.02393863032935e-09,6.12068997878091e-07
"3008","H1-4","ENSG00000168298",2885.91610728692,2.25209202020764,0.387605229375914,5.81027253897929,6.23712220776409e-09,7.4307902369185e-07
"93035","PKHD1L1","ENSG00000205038",375.887013995386,1.4381358223495,0.251107479564087,5.7271723838973,1.02118389102118e-08,1.13509326938045e-06
"6036","RNASE2","ENSG00000169385",214.38066859603,2.33731739302189,0.417701408978756,5.59566557061999,2.1977699054258e-08,2.18399586362221e-06
"5607","MAP2K5","ENSG00000137764",800.254773992477,-1.02405859277556,0.184077069395011,-5.56320565153085,2.64863444595199e-08,2.56121763195107e-06
"4831","NME2","ENSG00000243678",485.283023971038,1.09556577354272,0.200311375462545,5.46931381711559,4.51781217525113e-08,4.04241086087616e-06
"4904","YBX1","ENSG00000065978",4119.54163936777,1.15877539468351,0.21259872541975,5.45052841871773,5.02203765844372e-08,4.36490863443145e-06
"79755","ZNF750","ENSG00000141579",37.4623452878501,-4.14033861036325,0.775035671943019,-5.34212651139449,9.18625046136058e-08,7.01043658892988e-06
"8531","YBX3","ENSG00000060138",1111.8261302046,1.16933871375116,0.218827658935625,5.34365134388776,9.10927046681582e-08,7.01043658892988e-06
"5094","PCBP2","ENSG00000197111",6751.10738086283,0.677921901479232,0.128645032000871,5.26970914410935,1.36640101500635e-07,9.78906029488273e-06
"7316","UBC","ENSG00000150991",15547.1734744865,0.823396276529867,0.156831764745002,5.25018817373287,1.51943913093936e-07,1.06893239473976e-05
"847","CAT","ENSG00000121691",1703.97911592133,1.06692528746316,0.205714907896023,5.18642668329331,2.1436735978069e-07,1.43115100504978e-05
"653857","ACTR3C","ENSG00000106526",946.179016266522,-1.33304880227031,0.259321308696883,-5.1405293647831,2.73965501400258e-07,1.76182375524916e-05
"3178","HNRNPA1","ENSG00000135486",9629.07147351616,0.692840006142527,0.137583097634217,5.0357930447571,4.75874491364982e-07,2.78852106842241e-05
"6667","SP1","ENSG00000185591",5702.69193760416,0.710934607125976,0.142849201704296,4.97681890163896,6.46377441506322e-07,3.56482944978065e-05
"3055","HCK","ENSG00000101336",2393.26803354211,0.805595939729155,0.161973062498179,4.97364146422935,6.57067845721294e-07,3.60534631682799e-05
"7812","CSDE1","ENSG00000009307",9982.73369681379,0.670784535993467,0.135053154586053,4.96681871704119,6.80601554425511e-07,3.72499794914511e-05
"5093","PCBP1","ENSG00000169564",4127.50419143908,0.81741337789373,0.165497927717475,4.93911548722927,7.84777266314402e-07,4.19923994312748e-05
"170622","COMMD6","ENSG00000188243",819.379618337497,0.979682858272274,0.200868570089493,4.87723319698943,1.07584219709243e-06,5.56341993719454e-05
"83696","TRAPPC9","ENSG00000167632",1619.35627725203,-0.883927702513374,0.181622136866449,-4.86685003141081,1.13391006096838e-06,5.80798968045654e-05
"3507","IGHM","ENSG00000211899",9772.59653061057,1.6084301770098,0.342181295144562,4.7005204546037,2.5949926012909e-06,0.000111470957080153
"468","ATF4","ENSG00000128272",3013.28224529238,0.741431984145746,0.15933685595742,4.65323593647336,3.26765990742983e-06,0.000135247251907518
"128611","ZNF831","ENSG00000124203",3399.11235920594,-0.906394151842581,0.196986642186887,-4.60129753865573,4.19867149796589e-06,0.000166128719600251
"6129","RPL7","ENSG00000147604",8085.08287374216,0.69926674899831,0.15306662199258,4.56838166215104,4.91504439482853e-06,0.000189836341975327
"57623","ZFAT","ENSG00000066827",941.24062918955,-1.04902513216495,0.231369590851806,-4.53398014969415,5.78824712249106e-06,0.000217452545208009
"6280","S100A9","ENSG00000163220",8030.80692516348,1.49177129486244,0.331659345022762,4.4979021916601,6.86272538472164e-06,0.000249557858678141
"55269","PSPC1","ENSG00000121390",2122.33779590681,-0.812769732369525,0.182528166069867,-4.45284555183893,8.47397102545998e-06,0.000296163227217211
