"ENTREZ","symbol_name","ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100287102","DDX11L1","ENSG00000223972",92.8764657574186,1.79607964245676,0.518473386756842,3.46416940258324,0.000531871453710279,0.00756085325693196
"653635","WASH7P",NA,526.195533140031,0.227714315169571,0.198622627187328,1.14646713918855,0.251601916451274,0.515197391164682
"102466751","MIR6859-1","ENSG00000278267",20.9423275705892,-0.230303129858944,0.833082603710204,-0.27644693195281,0.782204814089323,0.906414348488482
"100996442","LOC100996442",NA,160.575888406892,-0.839859429335201,0.359801392634727,-2.3342306242484,0.0195836491649776,0.104127375860129
"729737","LOC729737",NA,892.064808477128,-0.215008271885536,0.338789505029404,-0.634636754367215,0.525665351158218,0.756937695390989
"102725121","DDX11L17","ENSG00000223972",121.373327044482,1.46348488397962,0.594878677963354,2.46014008938773,0.0138882792937212,0.0819463135682647
"102723897","WASH9P",NA,589.153862386709,0.0879239694459854,0.181413036897409,0.484661802424416,0.62791626620377,0.824025460346768
"102465909","MIR6859-2","ENSG00000273874",12.3054122725493,0.12861929151089,0.925471568237606,0.13897703173726,0.889468298913038,0.955440077370305
"112268260","LOC112268260",NA,35.2141657912954,-1.32313358072353,0.549452309309999,-2.40809540392163,0.0160359898457879,0.0904998913987361
"100132287","LOC100132287",NA,397.368991516933,-0.493661284940851,0.3504904213995,-1.40848723616946,0.158986843841136,0.394657799077962
"113219467","MIR12136","ENSG00000210151",811.139916478743,1.78479766681897,0.408655470620874,4.36748751731454,1.25683977099009e-05,0.000404564512625702
"81399","OR4F16","ENSG00000284662",19.1922766565574,-1.73913133399599,1.02513199178934,-1.69649503471292,0.0897921697040933,0.277244895117278
"100133331",NA,NA,343.891209486048,-0.682487271874926,0.355160552697959,-1.92163027873013,0.0546522958525987,0.201573698383856
"107984841",NA,NA,207.97337166739,-1.13451009046486,0.32956580352229,-3.44243874315718,0.0005764944129334,0.00803070124063038
"107984847",NA,NA,313.283502927636,-1.26360269280783,0.34184057042147,-3.69646789218108,0.00021861989381149,0.00386103144156508
"107984849",NA,NA,85.7066718830027,-0.879006244720537,0.434505231090138,-2.02300497629265,0.0430726344647329,0.173416409558906
"100288069","LOC100288069",NA,250.239491330247,-0.918200140152847,0.257125716435057,-3.57101636072548,0.000355598679455249,0.00553206038282214
"105378580","LINC01409","ENSG00000237491",416.778535714123,-0.415534087449636,0.299825982183875,-1.38591753931052,0.165772084483523,0.404287404411072
"400728","FAM87B","ENSG00000177757",81.0499185248232,-0.733159208269962,0.415577114446957,-1.76419533892197,0.0776990972240064,0.253122698728221
"79854","LINC00115",NA,113.080590086409,0.211074518539155,0.318140466697624,0.663463283153383,0.507033887472085,0.743234180797955
"643837","LINC01128","ENSG00000228794",381.505556104382,-0.220963042972153,0.249361215395002,-0.886116321746887,0.375554848663513,0.638932130696647
"107984850","LOC107984850","ENSG00000288531",5.86683454634658,1.55665048310553,1.64170467972141,0.948191536720043,0.34303195488146,0.60987229574275
"148398","SAMD11","ENSG00000187634",70.679643402619,0.301632853209786,0.384921380333335,0.783621977424527,0.433261956147575,0.688646039829462
"26155","NOC2L","ENSG00000188976",575.050397696266,0.0103646125641499,0.252088176171088,0.0411150285649083,0.967204193672244,0.986287429885718
"339451","KLHL17","ENSG00000187961",155.658755079968,0.107350001482252,0.352182045403805,0.304813953133717,0.760507853875319,0.895471990528115
"84069","PLEKHN1","ENSG00000187583",16.7288465420399,-1.1060414840384,1.16236857769432,-0.951541107754605,0.341329761106753,0.608281502397219
"57801","HES4","ENSG00000188290",12.3999998373252,0.595013960391508,1.02625547583597,0.579791264847399,0.562055388931317,0.783057398043347
"9636","ISG15","ENSG00000187608",138.896344292678,-0.318984311553114,0.574902683727433,-0.554849230281812,0.578997790576977,0.793324968632108
"375790","AGRN","ENSG00000188157",140.639265988669,-0.447489633760834,0.445521065796302,-1.00441857437428,0.315176900750091,0.584244980638623
"100288175","LOC100288175","ENSG00000217801",14.8692617282911,-0.244948168166531,0.875006273816137,-0.279938756436849,0.779524492123605,0.905108020038414
"112267874",NA,NA,9.77046956058068,-0.212880129250891,1.31956591369822,-0.161325877730709,0.871836742720648,0.947738444322633
"105378948","LOC105378948",NA,31.7747140647392,-0.425422494650441,0.570281537611119,-0.745986791773962,0.455675393896604,0.705954752064542
"54991","C1orf159","ENSG00000131591",151.881143635221,-0.265165308392218,0.461029566269008,-0.575159008863861,0.565183762639535,0.784839998393174
"8784","TNFRSF18","ENSG00000186891",21.197111917766,0.147427475441643,0.747796407227567,0.197149216038929,0.843710770299941,0.935968296336992
"7293","TNFRSF4","ENSG00000186827",67.1023985131629,0.107860396962347,0.605882522691949,0.17802196452725,0.858705726062749,0.942052773979624
"51150","SDF4","ENSG00000078808",877.202665050458,0.283875755552486,0.229743937459587,1.23561804803846,0.216600572820928,0.470464821949084
"126792","B3GALT6","ENSG00000176022",276.609602174282,0.316901692603522,0.234908391014689,1.34904373247231,0.177322919642974,0.419643485423736
"388581","C1QTNF12","ENSG00000184163",14.8891738422749,0.293677942358818,0.974829741474159,0.30126075340573,0.76321566574405,0.896692861346771
"118424","UBE2J2","ENSG00000160087",566.303940897776,0.00130181256975944,0.180849315317183,0.00719832733387049,0.994256615356532,0.997216262955733
"101928895","LINC01786",NA,35.6435341618643,-1.00175592254366,1.08118827865611,-0.926532355482822,0.354169390434737,0.6204646009016
"6339","SCNN1D","ENSG00000162572",62.9496040186198,-1.37038789451025,0.970090471419603,-1.41263926910329,0.157761816587907,0.392922599040636
