"altName","AverageShortestPathLength","baseMean","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","ensembl_id","IsSingleNode","lfcSE","log2FoldChange","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","NeighborhoodConnectivity","nodeAttr[nodesPresent, ]","NumberOfDirectedEdges","NumberOfUndirectedEdges","padj","PartnerOfMultiEdgedNodePairs","pvalue","Radiality","selected","SelfLoops","shared name","stat","Stress","symbol_name","TopologicalCoefficient"
,"2.007843137254902","811.139916478743","4.7417684964798574E-4","0.498046875","0.21746880570409982","34","4","ENSG00000210151","false","0.408655470620874","1.78479766681897","Cluster 7","Clustered","4.818713450292398","113219467","105.44117647058823","blue","0","34","4.04564512625702E-4","0","1.25683977099009E-5","0.9947780148328762","true","0","113219467","4.36748751731454","15050","MIR12136","0.4874727668845316"
,"1.2745098039215685","4922.71306241086","0.11461386021905724","0.7846153846153847","0.12678108808290156","193","3","ENSG00000078369","false","0.136928687213179","0.569123918896973","Cluster 3","Clustered","13.533834586466167","2782","42.58549222797927","blue","0","193","8.66225858767458E-4","0","3.23368492073736E-5","0.9985776694097328","true","0","2782","4.15635270066473","408030","GNB1","0.17946699897247545"
,"1.5607843137254902","16928.5440878355","0.027135994083874727","0.6407035175879396","0.1452340060111636","137","3","ENSG00000162511","false","0.160732649969466","1.07921377560236","Cluster 1","Clustered","8.71948051948052","7805","47.56934306569343","blue","0","137","4.42808347152164E-9","0","1.88918419300682E-11","0.9970943817941684","false","0","7805","6.7143407130249","210606","LAPTM5","0.21975533928088672"
,"2.1176470588235294","5310.96641858239","0.0019236093758853358","0.4722222222222222","0.03169398907103825","61","4","ENSG00000131238","false","0.162960755603881","0.877181065435816","Cluster 8","Clustered","3.8181818181818183","5538","55.36065573770492","blue","0","61","5.92373881108068E-6","0","7.33462373659127E-8","0.9942090825967692","false","0","5538","5.3827749029836","37434","PPT1","0.42776639344262296"
,"1.5058823529411764","2000.77820235015","0.013985685267954125","0.6640625","0.16994633273703041","130","3","ENSG00000162736","false","0.167560369859762","0.69543909368486","Cluster 2","Clustered","11.717171717171716","23385","52.46153846153846","blue","0","130","8.81480924677557E-4","0","3.31924740696613E-5","0.9973788479122219","true","0","23385","4.15037931861156","153002","NCSTN","0.20901011339258352"
,"1.6392156862745098","329.530904176935","0.014748092775787033","0.6100478468899522","0.09511311086114235","127","3","ENSG00000132185","false","0.289781494066356","1.78436742101487","Cluster 5","Clustered","6.114285714285714","84824","48.25196850393701","blue","0","127","1.17081900468151E-7","0","7.38413024655379E-10","0.9966880016255207","false","0","84824","6.15763068916428","172484","FCRLA","0.2283464566929134"
,"2.0980392156862746","7265.94248086698","0.0019789655635100442","0.4766355140186916","0.02459016393442623","61","4","ENSG00000067560","false","0.178323069205775","0.765023245095669","Cluster 8","Clustered","3.333333333333333","387","56.77049180327869","blue","0","61","5.4166336115715E-4","0","1.78595181683701E-5","0.9943106776389312","false","0","387","4.29009689269577","42360","RHOA","0.4284820422975848"
,"1.619607843137255","7176.2745441193","0.016033803167337136","0.6174334140435835","0.15974603174603175","126","3","ENSG00000118816","false","0.141408185440942","0.558924525110038","Cluster 1","Clustered","9.52659574468085","10983","49.43650793650794","blue","0","126","0.00172778151821594","0","7.73191042978287E-5","0.9967895966676826","false","0","10983","3.95256132710556","148734","CCNI","0.22850529100529102"
,"1.5333333333333334","1056.50221998404","0.009397011714701906","0.6521739130434783","0.20458483273357322","123","3","ENSG00000204482","false","0.220977178970973","1.15290115540035","Cluster 3","Clustered","13.341463414634147","7940","57.7479674796748","blue","0","123","1.23120772854643E-5","0","1.8156374405387E-7","0.9972366148531951","true","0","7940","5.2172860598958","145570","LST1","0.23007158358436175"
,"1.7647058823529411","1241.67307516828","0.0015610589057353096","0.5666666666666667","0.24471153846153845","65","3","ENSG00000204472","false","0.241109427579736","1.26120568375873","Cluster 4","Seed","8.08695652173913","199","70.53846153846153","blue","0","65","1.16005921714696E-5","0","1.68738311480048E-7","0.9960377933556843","true","0","199","5.23084350711106","35070","AIF1","0.28215384615384614"
,"1.6470588235294117","1991.85825457754","0.012113873595275031","0.6071428571428572","0.09470967741935483","125","3","ENSG00000204257","false","0.22108239939124","1.33831847894095","Cluster 4","Clustered","6.77310924369748","3108","48.608","blue","0","125","2.12266590615905E-7","0","1.41747305920471E-9","0.9966473636086558","false","0","3108","6.05348269525784","164116","HLA-DMA","0.2321531100478469"
,"1.7294117647058824","234.677507070403","0.01288125801736476","0.5782312925170068","0.10809102402022756","113","4","ENSG00000136929","false","0.276435082763958","1.55099765956341","Cluster 4","Clustered","7.556818181818182","55363","47.84070796460177","blue","0","113","2.03039933742387E-6","0","2.01495760623589E-8","0.9962206644315758","false","0","55363","5.61071208493379","137636","HEMGN","0.24336283185840707"
,"1.796078431372549","7788.30965303768","0.0012581393467587466","0.5567685589519651","0.2349624060150376","57","3","ENSG00000197958","false","0.167725791252332","0.777203139204298","Cluster 4","Clustered","6.666666666666666","6136","70.59649122807018","blue","0","57","1.45268448080759E-4","0","3.59061782726045E-6","0.9958752412882252","true","0","6136","4.63377238170277","29194","RPL12","0.2823859649122807"
,"1.6901960784313725","1703.97911592133","0.009748250686206808","0.5916473317865429","0.09328028293545534","117","3","ENSG00000121691","false","0.205714907896023","1.06692528746316","Cluster 5","Clustered","6.2727272727272725","847","49.94871794871795","blue","0","117","1.43115100504978E-5","0","2.1436735978069E-7","0.9964238545158997","false","0","847","5.18642668329331","147960","CAT","0.2386619228724492"
